,"X,Y,Z,Sequence"
394,"-0.36758583784103394,5.753939151763916,7.841759204864502,394"
395,"-0.36758583784103394,5.753939151763916,7.841759204864502,395"
396,"-0.36758583784103394,5.753939151763916,7.841759204864502,396"
397,"-0.36758583784103394,5.753939151763916,7.841759204864502,397"
398,"-0.36758583784103394,5.753939151763916,7.841759204864502,398"
399,"-0.36758583784103394,5.753939151763916,7.841759204864502,399"
400,"-0.36758583784103394,5.753939151763916,7.841759204864502,400"
401,"-0.36758583784103394,5.753939151763916,7.841759204864502,401"
402,"-0.36758583784103394,5.753939151763916,7.841759204864502,402"
403,"-0.36758583784103394,5.753939151763916,7.841759204864502,403"
404,"-0.36758583784103394,5.753939151763916,7.841759204864502,404"
405,"-0.36758583784103394,5.753939151763916,7.841759204864502,405"
406,"-0.36758583784103394,5.753939151763916,7.841759204864502,406"
407,"-0.36758583784103394,5.753939151763916,7.841759204864502,407"
408,"-0.36758583784103394,5.753939151763916,7.841759204864502,408"
409,"-0.36758583784103394,5.753939151763916,7.841759204864502,409"
410,"-0.36758583784103394,5.753939151763916,7.841759204864502,410"
411,"-0.36758583784103394,5.753939151763916,7.841759204864502,411"
412,"-0.36758583784103394,5.753939151763916,7.841759204864502,412"
413,"-0.36758583784103394,5.753939151763916,7.841759204864502,413"
414,"-0.36758583784103394,5.753939151763916,7.841759204864502,414"
415,"-0.36758583784103394,5.753939151763916,7.841759204864502,415"
416,"-0.36758583784103394,5.753939151763916,7.841759204864502,416"
417,"-0.36758583784103394,5.753939151763916,7.841759204864502,417"
418,"-0.36758583784103394,5.753939151763916,7.841759204864502,418"
419,"-0.36758583784103394,5.753939151763916,7.841759204864502,419"
420,"-0.36758583784103394,5.753939151763916,7.841759204864502,420"
421,"-0.36758583784103394,5.753939151763916,7.841759204864502,421"
422,"-0.36758583784103394,5.753939151763916,7.841759204864502,422"
423,"-0.36758583784103394,5.753939151763916,7.841759204864502,423"
424,"-0.36758583784103394,5.753939151763916,7.841759204864502,424"
425,"-0.36758583784103394,5.753939151763916,7.841759204864502,425"
426,"-0.36758583784103394,5.753939151763916,7.841759204864502,426"
427,"-0.36758583784103394,5.753939151763916,7.841759204864502,427"
428,"-0.36758583784103394,5.753939151763916,7.841759204864502,428"
429,"-0.36758583784103394,5.753939151763916,7.841759204864502,429"
430,"-0.36758583784103394,5.753939151763916,7.841759204864502,430"
431,"-0.36758583784103394,5.753939151763916,7.841759204864502,431"
432,"-0.36758583784103394,5.753939151763916,7.841759204864502,432"
433,"-0.36758583784103394,5.753939151763916,7.841759204864502,433"
