,"X,Y,Z,Sequence"
14196,"-0.36758583784103394,5.753939151763916,7.841759204864502,1419"
14197,"-0.36758583784103394,5.753939151763916,7.841759204864502,1419"
14198,"-0.36758583784103394,5.753939151763916,7.841759204864502,1419"
14199,"-0.36758583784103394,5.753939151763916,7.841759204864502,1419"
14200,"-0.36758583784103394,5.753939151763916,7.841759204864502,1420"
14201,"-0.36758583784103394,5.753939151763916,7.841759204864502,1420"
14202,"-0.36758583784103394,5.753939151763916,7.841759204864502,1420"
14203,"-0.36758583784103394,5.753939151763916,7.841759204864502,1420"
14204,"-0.36758583784103394,5.753939151763916,7.841759204864502,1420"
14205,"-0.36758583784103394,5.753939151763916,7.841759204864502,1420"
14206,"-0.36758583784103394,5.753939151763916,7.841759204864502,1420"
14207,"-0.36758583784103394,5.753939151763916,7.841759204864502,1420"
14208,"-0.36758583784103394,5.753939151763916,7.841759204864502,1420"
14209,"-0.36758583784103394,5.753939151763916,7.841759204864502,1420"
14210,"-0.36758583784103394,5.753939151763916,7.841759204864502,1421"
14211,"-0.36758583784103394,5.753939151763916,7.841759204864502,1421"
14212,"-0.36758583784103394,5.753939151763916,7.841759204864502,1421"
14213,"-0.36758583784103394,5.753939151763916,7.841759204864502,1421"
14214,"-0.36758583784103394,5.753939151763916,7.841759204864502,1421"
14215,"-0.36758583784103394,5.753939151763916,7.841759204864502,1421"
14216,"-0.36758583784103394,5.753939151763916,7.841759204864502,1421"
14217,"-0.36758583784103394,5.753939151763916,7.841759204864502,1421"
14218,"-0.36758583784103394,5.753939151763916,7.841759204864502,1421"
14219,"-0.36758583784103394,5.753939151763916,7.841759204864502,1421"
14220,"-0.36758583784103394,5.753939151763916,7.841759204864502,1422"
14221,"-0.36758583784103394,5.753939151763916,7.841759204864502,1422"
14222,"-0.36758583784103394,5.753939151763916,7.841759204864502,1422"
14223,"-0.36758583784103394,5.753939151763916,7.841759204864502,1422"
14224,"-0.36758583784103394,5.753939151763916,7.841759204864502,1422"
14225,"-0.36758583784103394,5.753939151763916,7.841759204864502,1422"
14226,"-0.36758583784103394,5.753939151763916,7.841759204864502,1422"
14227,"-0.36758583784103394,5.753939151763916,7.841759204864502,1422"
14228,"-0.36758583784103394,5.753939151763916,7.841759204864502,1422"
14229,"-0.36758583784103394,5.753939151763916,7.841759204864502,1422"
14230,"-0.36758583784103394,5.753939151763916,7.841759204864502,1423"
14231,"-0.36758583784103394,5.753939151763916,7.841759204864502,1423"
14232,"-0.36758583784103394,5.753939151763916,7.841759204864502,1423"
14233,"-0.36758583784103394,5.753939151763916,7.841759204864502,1423"
14234,"-0.36758583784103394,5.753939151763916,7.841759204864502,1423"
14235,"-0.36758583784103394,5.753939151763916,7.841759204864502,1423"
14236,"-0.36758583784103394,5.753939151763916,7.841759204864502,1423"
14237,"-0.36758583784103394,5.753939151763916,7.841759204864502,1423"
14238,"-0.36758583784103394,5.753939151763916,7.841759204864502,1423"
14239,"-0.36758583784103394,5.753939151763916,7.841759204864502,1423"
14240,"-0.36758583784103394,5.753939151763916,7.841759204864502,1424"
14241,"-0.36758583784103394,5.753939151763916,7.841759204864502,1424"
14242,"-0.36758583784103394,5.753939151763916,7.841759204864502,1424"
14243,"-0.36758583784103394,5.753939151763916,7.841759204864502,1424"
14244,"-0.36758583784103394,5.753939151763916,7.841759204864502,1424"
14245,"-0.36758583784103394,5.753939151763916,7.841759204864502,1424"
14246,"-0.36758583784103394,5.753939151763916,7.841759204864502,1424"
14247,"-0.36758583784103394,5.753939151763916,7.841759204864502,1424"
14248,"-0.36758583784103394,5.753939151763916,7.841759204864502,1424"
14249,"-0.36758583784103394,5.753939151763916,7.841759204864502,1424"
14250,"-0.36758583784103394,5.753939151763916,7.841759204864502,1425"
14251,"-0.36758583784103394,5.753939151763916,7.841759204864502,1425"
14252,"-0.36758583784103394,5.753939151763916,7.841759204864502,1425"
14253,"-0.36758583784103394,5.753939151763916,7.841759204864502,1425"
14254,"-0.36758583784103394,5.753939151763916,7.841759204864502,1425"
14255,"-0.36758583784103394,5.753939151763916,7.841759204864502,1425"
14256,"-0.36758583784103394,5.753939151763916,7.841759204864502,1425"
14257,"-0.36758583784103394,5.753939151763916,7.841759204864502,1425"
14258,"-0.36758583784103394,5.753939151763916,7.841759204864502,1425"
14259,"-0.36758583784103394,5.753939151763916,7.841759204864502,1425"
14260,"-0.36758583784103394,5.753939151763916,7.841759204864502,1426"
14261,"-0.36758583784103394,5.753939151763916,7.841759204864502,1426"
14262,"-0.36758583784103394,5.753939151763916,7.841759204864502,1426"
14263,"-0.36758583784103394,5.753939151763916,7.841759204864502,1426"
14264,"-0.36758583784103394,5.753939151763916,7.841759204864502,1426"
14265,"-0.36758583784103394,5.753939151763916,7.841759204864502,1426"
14266,"-0.36758583784103394,5.753939151763916,7.841759204864502,1426"
14267,"-0.36758583784103394,5.753939151763916,7.841759204864502,1426"
14268,"-0.36758583784103394,5.753939151763916,7.841759204864502,1426"
14269,"-0.36758583784103394,5.753939151763916,7.841759204864502,1426"
14270,"-0.36758583784103394,5.753939151763916,7.841759204864502,1427"
14271,"-0.36758583784103394,5.753939151763916,7.841759204864502,1427"
14272,"-0.36758583784103394,5.753939151763916,7.841759204864502,1427"
14273,"-0.36758583784103394,5.753939151763916,7.841759204864502,1427"
14274,"-0.36758583784103394,5.753939151763916,7.841759204864502,1427"
14275,"-0.36758583784103394,5.753939151763916,7.841759204864502,1427"
14276,"-0.36758583784103394,5.753939151763916,7.841759204864502,1427"
14277,"-0.36758583784103394,5.753939151763916,7.841759204864502,1427"
14278,"-0.36758583784103394,5.753939151763916,7.841759204864502,1427"
14279,"-0.36758583784103394,5.753939151763916,7.841759204864502,1427"
14280,"-0.36758583784103394,5.753939151763916,7.841759204864502,1428"
14281,"-0.36758583784103394,5.753939151763916,7.841759204864502,1428"
14282,"-0.36758583784103394,5.753939151763916,7.841759204864502,1428"
14283,"-0.36758583784103394,5.753939151763916,7.841759204864502,1428"
14284,"-0.36758583784103394,5.753939151763916,7.841759204864502,1428"
14285,"-0.36758583784103394,5.753939151763916,7.841759204864502,1428"
14286,"-0.36758583784103394,5.753939151763916,7.841759204864502,1428"
14287,"-0.36758583784103394,5.753939151763916,7.841759204864502,1428"
14288,"-0.36758583784103394,5.753939151763916,7.841759204864502,1428"
14289,"-0.36758583784103394,5.753939151763916,7.841759204864502,1428"
14290,"-0.36758583784103394,5.753939151763916,7.841759204864502,1429"
14291,"-0.36758583784103394,5.753939151763916,7.841759204864502,1429"
14292,"-0.36758583784103394,5.753939151763916,7.841759204864502,1429"
14293,"-0.36758583784103394,5.753939151763916,7.841759204864502,1429"
14294,"-0.36758583784103394,5.753939151763916,7.841759204864502,1429"
14295,"-0.36758583784103394,5.753939151763916,7.841759204864502,1429"
14296,"-0.36758583784103394,5.753939151763916,7.841759204864502,1429"
14297,"-0.36758583784103394,5.753939151763916,7.841759204864502,1429"
14298,"-0.36758583784103394,5.753939151763916,7.841759204864502,1429"
14299,"-0.36758583784103394,5.753939151763916,7.841759204864502,1429"
14300,"-0.36758583784103394,5.753939151763916,7.841759204864502,1430"
14301,"-0.36758583784103394,5.753939151763916,7.841759204864502,1430"
14302,"-0.36758583784103394,5.753939151763916,7.841759204864502,1430"
14303,"-0.36758583784103394,5.753939151763916,7.841759204864502,1430"
14304,"-0.36758583784103394,5.753939151763916,7.841759204864502,1430"
14305,"-0.36758583784103394,5.753939151763916,7.841759204864502,1430"
14306,"-0.36758583784103394,5.753939151763916,7.841759204864502,1430"
14307,"-0.36758583784103394,5.753939151763916,7.841759204864502,1430"
14308,"-0.36758583784103394,5.753939151763916,7.841759204864502,1430"
14309,"-0.36758583784103394,5.753939151763916,7.841759204864502,1430"
14310,"-0.36758583784103394,5.753939151763916,7.841759204864502,1431"
14311,"-0.36758583784103394,5.753939151763916,7.841759204864502,1431"
14312,"-0.36758583784103394,5.753939151763916,7.841759204864502,1431"
14313,"-0.36758583784103394,5.753939151763916,7.841759204864502,1431"
14314,"-0.36758583784103394,5.753939151763916,7.841759204864502,1431"
14315,"-0.36758583784103394,5.753939151763916,7.841759204864502,1431"
14316,"-0.36758583784103394,5.753939151763916,7.841759204864502,1431"
14317,"-0.36758583784103394,5.753939151763916,7.841759204864502,1431"
14318,"-0.36758583784103394,5.753939151763916,7.841759204864502,1431"
14319,"-0.36758583784103394,5.753939151763916,7.841759204864502,1431"
14320,"-0.36758583784103394,5.753939151763916,7.841759204864502,1432"
14321,"-0.36758583784103394,5.753939151763916,7.841759204864502,1432"
14322,"-0.36758583784103394,5.753939151763916,7.841759204864502,1432"
14323,"-0.36758583784103394,5.753939151763916,7.841759204864502,1432"
14324,"-0.36758583784103394,5.753939151763916,7.841759204864502,1432"
14325,"-0.36758583784103394,5.753939151763916,7.841759204864502,1432"
14326,"-0.36758583784103394,5.753939151763916,7.841759204864502,1432"
14327,"-0.36758583784103394,5.753939151763916,7.841759204864502,1432"
14328,"-0.36758583784103394,5.753939151763916,7.841759204864502,1432"
14329,"-0.36758583784103394,5.753939151763916,7.841759204864502,1432"
14330,"-0.36758583784103394,5.753939151763916,7.841759204864502,1433"
14331,"-0.36758583784103394,5.753939151763916,7.841759204864502,1433"
14332,"-0.36758583784103394,5.753939151763916,7.841759204864502,1433"
14333,"-0.36758583784103394,5.753939151763916,7.841759204864502,1433"
14334,"-0.36758583784103394,5.753939151763916,7.841759204864502,1433"
14335,"-0.36758583784103394,5.753939151763916,7.841759204864502,1433"
14336,"-0.36758583784103394,5.753939151763916,7.841759204864502,1433"
14337,"-0.36758583784103394,5.753939151763916,7.841759204864502,1433"
14338,"-0.36758583784103394,5.753939151763916,7.841759204864502,1433"
14339,"-0.36758583784103394,5.753939151763916,7.841759204864502,1433"
14340,"-0.36758583784103394,5.753939151763916,7.841759204864502,1434"
14341,"-0.36758583784103394,5.753939151763916,7.841759204864502,1434"
14342,"-0.36758583784103394,5.753939151763916,7.841759204864502,1434"
14343,"-0.36758583784103394,5.753939151763916,7.841759204864502,1434"
14344,"-0.36758583784103394,5.753939151763916,7.841759204864502,1434"
14345,"-0.36758583784103394,5.753939151763916,7.841759204864502,1434"
14346,"-0.36758583784103394,5.753939151763916,7.841759204864502,1434"
14347,"-0.36758583784103394,5.753939151763916,7.841759204864502,1434"
14348,"-0.36758583784103394,5.753939151763916,7.841759204864502,1434"
14349,"-0.36758583784103394,5.753939151763916,7.841759204864502,1434"
14350,"-0.36758583784103394,5.753939151763916,7.841759204864502,1435"
14351,"-0.36758583784103394,5.753939151763916,7.841759204864502,1435"
14352,"-0.36758583784103394,5.753939151763916,7.841759204864502,1435"
14353,"-0.36758583784103394,5.753939151763916,7.841759204864502,1435"
14354,"-0.36758583784103394,5.753939151763916,7.841759204864502,1435"
14355,"-0.36758583784103394,5.753939151763916,7.841759204864502,1435"
14356,"-0.36758583784103394,5.753939151763916,7.841759204864502,1435"
14357,"-0.36758583784103394,5.753939151763916,7.841759204864502,1435"
14358,"-0.36758583784103394,5.753939151763916,7.841759204864502,1435"
14359,"-0.36758583784103394,5.753939151763916,7.841759204864502,1435"
14360,"-0.36758583784103394,5.753939151763916,7.841759204864502,1436"
14361,"-0.36758583784103394,5.753939151763916,7.841759204864502,1436"
14362,"-0.36758583784103394,5.753939151763916,7.841759204864502,1436"
14363,"-0.36758583784103394,5.753939151763916,7.841759204864502,1436"
14364,"-0.36758583784103394,5.753939151763916,7.841759204864502,1436"
14365,"-0.36758583784103394,5.753939151763916,7.841759204864502,1436"
14366,"-0.36758583784103394,5.753939151763916,7.841759204864502,1436"
14367,"-0.36758583784103394,5.753939151763916,7.841759204864502,1436"
14368,"-0.36758583784103394,5.753939151763916,7.841759204864502,1436"
14369,"-0.36758583784103394,5.753939151763916,7.841759204864502,1436"
14370,"-0.36758583784103394,5.753939151763916,7.841759204864502,1437"
14371,"-0.36758583784103394,5.753939151763916,7.841759204864502,1437"
14372,"-0.36758583784103394,5.753939151763916,7.841759204864502,1437"
14373,"-0.36758583784103394,5.753939151763916,7.841759204864502,1437"
14374,"-0.36758583784103394,5.753939151763916,7.841759204864502,1437"
14375,"-0.36758583784103394,5.753939151763916,7.841759204864502,1437"
14376,"-0.36758583784103394,5.753939151763916,7.841759204864502,1437"
14377,"-0.36758583784103394,5.753939151763916,7.841759204864502,1437"
14378,"-0.36758583784103394,5.753939151763916,7.841759204864502,1437"
14379,"-0.36758583784103394,5.753939151763916,7.841759204864502,1437"
14380,"-0.36758583784103394,5.753939151763916,7.841759204864502,1438"
14381,"-0.36758583784103394,5.753939151763916,7.841759204864502,1438"
14382,"-0.36758583784103394,5.753939151763916,7.841759204864502,1438"
14383,"-0.36758583784103394,5.753939151763916,7.841759204864502,1438"
14384,"-0.36758583784103394,5.753939151763916,7.841759204864502,1438"
14385,"-0.36758583784103394,5.753939151763916,7.841759204864502,1438"
14386,"-0.36758583784103394,5.753939151763916,7.841759204864502,1438"
14387,"-0.36758583784103394,5.753939151763916,7.841759204864502,1438"
14388,"-0.36758583784103394,5.753939151763916,7.841759204864502,1438"
14389,"-0.36758583784103394,5.753939151763916,7.841759204864502,1438"
14390,"-0.36758583784103394,5.753939151763916,7.841759204864502,1439"
14391,"-0.36758583784103394,5.753939151763916,7.841759204864502,1439"
14392,"-0.36758583784103394,5.753939151763916,7.841759204864502,1439"
14393,"-0.36758583784103394,5.753939151763916,7.841759204864502,1439"
14394,"-0.36758583784103394,5.753939151763916,7.841759204864502,1439"
14395,"-0.36758583784103394,5.753939151763916,7.841759204864502,1439"
14396,"-0.36758583784103394,5.753939151763916,7.841759204864502,1439"
14397,"-0.36758583784103394,5.753939151763916,7.841759204864502,1439"
14398,"-0.36758583784103394,5.753939151763916,7.841759204864502,1439"
14399,"-0.36758583784103394,5.753939151763916,7.841759204864502,1439"
14400,"-0.36758583784103394,5.753939151763916,7.841759204864502,1440"
14401,"-0.36758583784103394,5.753939151763916,7.841759204864502,1440"
14402,"-0.36758583784103394,5.753939151763916,7.841759204864502,1440"
14403,"-0.36758583784103394,5.753939151763916,7.841759204864502,1440"
14404,"-0.36758583784103394,5.753939151763916,7.841759204864502,1440"
14405,"-0.36758583784103394,5.753939151763916,7.841759204864502,1440"
14406,"-0.36758583784103394,5.753939151763916,7.841759204864502,1440"
14407,"-0.36758583784103394,5.753939151763916,7.841759204864502,1440"
14408,"-0.36758583784103394,5.753939151763916,7.841759204864502,1440"
14409,"-0.36758583784103394,5.753939151763916,7.841759204864502,1440"
14410,"-0.36758583784103394,5.753939151763916,7.841759204864502,1441"
14411,"-0.36758583784103394,5.753939151763916,7.841759204864502,1441"
14412,"-0.36758583784103394,5.753939151763916,7.841759204864502,1441"
14413,"-0.36758583784103394,5.753939151763916,7.841759204864502,1441"
14414,"-0.36758583784103394,5.753939151763916,7.841759204864502,1441"
14415,"-0.36758583784103394,5.753939151763916,7.841759204864502,1441"
14416,"-0.36758583784103394,5.753939151763916,7.841759204864502,1441"
14417,"-0.36758583784103394,5.753939151763916,7.841759204864502,1441"
14418,"-0.36758583784103394,5.753939151763916,7.841759204864502,1441"
14419,"-0.36758583784103394,5.753939151763916,7.841759204864502,1441"
14420,"-0.36758583784103394,5.753939151763916,7.841759204864502,1442"
14421,"-0.36758583784103394,5.753939151763916,7.841759204864502,1442"
14422,"-0.36758583784103394,5.753939151763916,7.841759204864502,1442"
14423,"-0.36758583784103394,5.753939151763916,7.841759204864502,1442"
14424,"-0.36758583784103394,5.753939151763916,7.841759204864502,1442"
14425,"-0.36758583784103394,5.753939151763916,7.841759204864502,1442"
14426,"-0.36758583784103394,5.753939151763916,7.841759204864502,1442"
14427,"-0.36758583784103394,5.753939151763916,7.841759204864502,1442"
14428,"-0.36758583784103394,5.753939151763916,7.841759204864502,1442"
14429,"-0.36758583784103394,5.753939151763916,7.841759204864502,1442"
14430,"-0.36758583784103394,5.753939151763916,7.841759204864502,1443"
14431,"-0.36758583784103394,5.753939151763916,7.841759204864502,1443"
14432,"-0.36758583784103394,5.753939151763916,7.841759204864502,1443"
14433,"-0.36758583784103394,5.753939151763916,7.841759204864502,1443"
14434,"-0.36758583784103394,5.753939151763916,7.841759204864502,1443"
14435,"-0.36758583784103394,5.753939151763916,7.841759204864502,1443"
14436,"-0.36758583784103394,5.753939151763916,7.841759204864502,1443"
14437,"-0.36758583784103394,5.753939151763916,7.841759204864502,1443"
14438,"-0.36758583784103394,5.753939151763916,7.841759204864502,1443"
14439,"-0.36758583784103394,5.753939151763916,7.841759204864502,1443"
14440,"-0.36758583784103394,5.753939151763916,7.841759204864502,1444"
14441,"-0.36758583784103394,5.753939151763916,7.841759204864502,1444"
14442,"-0.36758583784103394,5.753939151763916,7.841759204864502,1444"
14443,"-0.36758583784103394,5.753939151763916,7.841759204864502,1444"
14444,"-0.36758583784103394,5.753939151763916,7.841759204864502,1444"
14445,"-0.36758583784103394,5.753939151763916,7.841759204864502,1444"
14446,"-0.36758583784103394,5.753939151763916,7.841759204864502,1444"
14447,"-0.36758583784103394,5.753939151763916,7.841759204864502,1444"
14448,"-0.36758583784103394,5.753939151763916,7.841759204864502,1444"
14449,"-0.36758583784103394,5.753939151763916,7.841759204864502,1444"
14450,"-0.36758583784103394,5.753939151763916,7.841759204864502,1445"
14451,"-0.36758583784103394,5.753939151763916,7.841759204864502,1445"
14452,"-0.36758583784103394,5.753939151763916,7.841759204864502,1445"
14453,"-0.36758583784103394,5.753939151763916,7.841759204864502,1445"
14454,"-0.36758583784103394,5.753939151763916,7.841759204864502,1445"
14455,"-0.36758583784103394,5.753939151763916,7.841759204864502,1445"
14456,"-0.36758583784103394,5.753939151763916,7.841759204864502,1445"
14457,"-0.36758583784103394,5.753939151763916,7.841759204864502,1445"
14458,"-0.36758583784103394,5.753939151763916,7.841759204864502,1445"
14459,"-0.36758583784103394,5.753939151763916,7.841759204864502,1445"
14460,"-0.36758583784103394,5.753939151763916,7.841759204864502,1446"
14461,"-0.36758583784103394,5.753939151763916,7.841759204864502,1446"
14462,"-0.36758583784103394,5.753939151763916,7.841759204864502,1446"
14463,"-0.36758583784103394,5.753939151763916,7.841759204864502,1446"
14464,"-0.36758583784103394,5.753939151763916,7.841759204864502,1446"
14465,"-0.36758583784103394,5.753939151763916,7.841759204864502,1446"
14466,"-0.36758583784103394,5.753939151763916,7.841759204864502,1446"
14467,"-0.36758583784103394,5.753939151763916,7.841759204864502,1446"
14468,"-0.36758583784103394,5.753939151763916,7.841759204864502,1446"
14469,"-0.36758583784103394,5.753939151763916,7.841759204864502,1446"
14470,"-0.36758583784103394,5.753939151763916,7.841759204864502,1447"
14471,"-0.36758583784103394,5.753939151763916,7.841759204864502,1447"
14472,"-0.36758583784103394,5.753939151763916,7.841759204864502,1447"
14473,"-0.36758583784103394,5.753939151763916,7.841759204864502,1447"
14474,"-0.36758583784103394,5.753939151763916,7.841759204864502,1447"
14475,"-0.36758583784103394,5.753939151763916,7.841759204864502,1447"
14476,"-0.36758583784103394,5.753939151763916,7.841759204864502,1447"
14477,"-0.36758583784103394,5.753939151763916,7.841759204864502,1447"
14478,"-0.36758583784103394,5.753939151763916,7.841759204864502,1447"
14479,"-0.36758583784103394,5.753939151763916,7.841759204864502,1447"
14480,"-0.36758583784103394,5.753939151763916,7.841759204864502,1448"
14481,"-0.36758583784103394,5.753939151763916,7.841759204864502,1448"
14482,"-0.36758583784103394,5.753939151763916,7.841759204864502,1448"
14483,"-0.36758583784103394,5.753939151763916,7.841759204864502,1448"
14484,"-0.36758583784103394,5.753939151763916,7.841759204864502,1448"
14485,"-0.36758583784103394,5.753939151763916,7.841759204864502,1448"
14486,"-0.36758583784103394,5.753939151763916,7.841759204864502,1448"
14487,"-0.36758583784103394,5.753939151763916,7.841759204864502,1448"
14488,"-0.36758583784103394,5.753939151763916,7.841759204864502,1448"
14489,"-0.36758583784103394,5.753939151763916,7.841759204864502,1448"
14490,"-0.36758583784103394,5.753939151763916,7.841759204864502,1449"
14491,"-0.36758583784103394,5.753939151763916,7.841759204864502,1449"
14492,"-0.36758583784103394,5.753939151763916,7.841759204864502,1449"
14493,"-0.36758583784103394,5.753939151763916,7.841759204864502,1449"
14494,"-0.36758583784103394,5.753939151763916,7.841759204864502,1449"
14495,"-0.36758583784103394,5.753939151763916,7.841759204864502,1449"
14496,"-0.36758583784103394,5.753939151763916,7.841759204864502,1449"
14497,"-0.36758583784103394,5.753939151763916,7.841759204864502,1449"
14498,"-0.36758583784103394,5.753939151763916,7.841759204864502,1449"
14499,"-0.36758583784103394,5.753939151763916,7.841759204864502,1449"
14500,"-0.36758583784103394,5.753939151763916,7.841759204864502,1450"
14501,"-0.36758583784103394,5.753939151763916,7.841759204864502,1450"
14502,"-0.36758583784103394,5.753939151763916,7.841759204864502,1450"
14503,"-0.36758583784103394,5.753939151763916,7.841759204864502,1450"
14504,"-0.36758583784103394,5.753939151763916,7.841759204864502,1450"
14505,"-0.36758583784103394,5.753939151763916,7.841759204864502,1450"
14506,"-0.36758583784103394,5.753939151763916,7.841759204864502,1450"
14507,"-0.36758583784103394,5.753939151763916,7.841759204864502,1450"
14508,"-0.36758583784103394,5.753939151763916,7.841759204864502,1450"
14509,"-0.36758583784103394,5.753939151763916,7.841759204864502,1450"
14510,"-0.36758583784103394,5.753939151763916,7.841759204864502,1451"
14511,"-0.36758583784103394,5.753939151763916,7.841759204864502,1451"
14512,"-0.36758583784103394,5.753939151763916,7.841759204864502,1451"
14513,"-0.36758583784103394,5.753939151763916,7.841759204864502,1451"
14514,"-0.36758583784103394,5.753939151763916,7.841759204864502,1451"
14515,"-0.36758583784103394,5.753939151763916,7.841759204864502,1451"
14516,"-0.36758583784103394,5.753939151763916,7.841759204864502,1451"
14517,"-0.36758583784103394,5.753939151763916,7.841759204864502,1451"
14518,"-0.36758583784103394,5.753939151763916,7.841759204864502,1451"
14519,"-0.36758583784103394,5.753939151763916,7.841759204864502,1451"
14520,"-0.36758583784103394,5.753939151763916,7.841759204864502,1452"
14521,"-0.36758583784103394,5.753939151763916,7.841759204864502,1452"
14522,"-0.36758583784103394,5.753939151763916,7.841759204864502,1452"
14523,"-0.36758583784103394,5.753939151763916,7.841759204864502,1452"
14524,"-0.36758583784103394,5.753939151763916,7.841759204864502,1452"
14525,"-0.36758583784103394,5.753939151763916,7.841759204864502,1452"
14526,"-0.36758583784103394,5.753939151763916,7.841759204864502,1452"
14527,"-0.36758583784103394,5.753939151763916,7.841759204864502,1452"
14528,"-0.36758583784103394,5.753939151763916,7.841759204864502,1452"
14529,"-0.36758583784103394,5.753939151763916,7.841759204864502,1452"
14530,"-0.36758583784103394,5.753939151763916,7.841759204864502,1453"
14531,"-0.36758583784103394,5.753939151763916,7.841759204864502,1453"
14532,"-0.36758583784103394,5.753939151763916,7.841759204864502,1453"
14533,"-0.36758583784103394,5.753939151763916,7.841759204864502,1453"
14534,"-0.36758583784103394,5.753939151763916,7.841759204864502,1453"
14535,"-0.36758583784103394,5.753939151763916,7.841759204864502,1453"
14536,"-0.36758583784103394,5.753939151763916,7.841759204864502,1453"
14537,"-0.36758583784103394,5.753939151763916,7.841759204864502,1453"
14538,"-0.36758583784103394,5.753939151763916,7.841759204864502,1453"
14539,"-0.36758583784103394,5.753939151763916,7.841759204864502,1453"
14540,"-0.36758583784103394,5.753939151763916,7.841759204864502,1454"
14541,"-0.36758583784103394,5.753939151763916,7.841759204864502,1454"
14542,"-0.36758583784103394,5.753939151763916,7.841759204864502,1454"
14543,"-0.36758583784103394,5.753939151763916,7.841759204864502,1454"
14544,"-0.36758583784103394,5.753939151763916,7.841759204864502,1454"
14545,"-0.36758583784103394,5.753939151763916,7.841759204864502,1454"
14546,"-0.36758583784103394,5.753939151763916,7.841759204864502,1454"
14547,"-0.36758583784103394,5.753939151763916,7.841759204864502,1454"
14548,"-0.36758583784103394,5.753939151763916,7.841759204864502,1454"
14549,"-0.36758583784103394,5.753939151763916,7.841759204864502,1454"
14550,"-0.36758583784103394,5.753939151763916,7.841759204864502,1455"
14551,"-0.36758583784103394,5.753939151763916,7.841759204864502,1455"
14552,"-0.36758583784103394,5.753939151763916,7.841759204864502,1455"
14553,"-0.36758583784103394,5.753939151763916,7.841759204864502,1455"
14554,"-0.36758583784103394,5.753939151763916,7.841759204864502,1455"
14555,"-0.36758583784103394,5.753939151763916,7.841759204864502,1455"
14556,"-0.36758583784103394,5.753939151763916,7.841759204864502,1455"
14557,"-0.36758583784103394,5.753939151763916,7.841759204864502,1455"
14558,"-0.36758583784103394,5.753939151763916,7.841759204864502,1455"
14559,"-0.36758583784103394,5.753939151763916,7.841759204864502,1455"
14560,"-0.36758583784103394,5.753939151763916,7.841759204864502,1456"
14561,"-0.36758583784103394,5.753939151763916,7.841759204864502,1456"
14562,"-0.36758583784103394,5.753939151763916,7.841759204864502,1456"
14563,"-0.36758583784103394,5.753939151763916,7.841759204864502,1456"
14564,"-0.36758583784103394,5.753939151763916,7.841759204864502,1456"
14565,"-0.36758583784103394,5.753939151763916,7.841759204864502,1456"
14566,"-0.36758583784103394,5.753939151763916,7.841759204864502,1456"
14567,"-0.36758583784103394,5.753939151763916,7.841759204864502,1456"
14568,"-0.36758583784103394,5.753939151763916,7.841759204864502,1456"
14569,"-0.36758583784103394,5.753939151763916,7.841759204864502,1456"
14570,"-0.36758583784103394,5.753939151763916,7.841759204864502,1457"
14571,"-0.36758583784103394,5.753939151763916,7.841759204864502,1457"
14572,"-0.36758583784103394,5.753939151763916,7.841759204864502,1457"
14573,"-0.36758583784103394,5.753939151763916,7.841759204864502,1457"
14574,"-0.36758583784103394,5.753939151763916,7.841759204864502,1457"
14575,"-0.36758583784103394,5.753939151763916,7.841759204864502,1457"
14576,"-0.36758583784103394,5.753939151763916,7.841759204864502,1457"
14577,"-0.36758583784103394,5.753939151763916,7.841759204864502,1457"
14578,"-0.36758583784103394,5.753939151763916,7.841759204864502,1457"
14579,"-0.36758583784103394,5.753939151763916,7.841759204864502,1457"
14580,"-0.36758583784103394,5.753939151763916,7.841759204864502,1458"
14581,"-0.36758583784103394,5.753939151763916,7.841759204864502,1458"
14582,"-0.36758583784103394,5.753939151763916,7.841759204864502,1458"
14583,"-0.36758583784103394,5.753939151763916,7.841759204864502,1458"
14584,"-0.36758583784103394,5.753939151763916,7.841759204864502,1458"
14585,"-0.36758583784103394,5.753939151763916,7.841759204864502,1458"
14586,"-0.36758583784103394,5.753939151763916,7.841759204864502,1458"
14587,"-0.36758583784103394,5.753939151763916,7.841759204864502,1458"
14588,"-0.36758583784103394,5.753939151763916,7.841759204864502,1458"
14589,"-0.36758583784103394,5.753939151763916,7.841759204864502,1458"
14590,"-0.36758583784103394,5.753939151763916,7.841759204864502,1459"
14591,"-0.36758583784103394,5.753939151763916,7.841759204864502,1459"
14592,"-0.36758583784103394,5.753939151763916,7.841759204864502,1459"
14593,"-0.36758583784103394,5.753939151763916,7.841759204864502,1459"
14594,"-0.36758583784103394,5.753939151763916,7.841759204864502,1459"
14595,"-0.36758583784103394,5.753939151763916,7.841759204864502,1459"
14596,"-0.36758583784103394,5.753939151763916,7.841759204864502,1459"
14597,"-0.36758583784103394,5.753939151763916,7.841759204864502,1459"
14598,"-0.36758583784103394,5.753939151763916,7.841759204864502,1459"
14599,"-0.36758583784103394,5.753939151763916,7.841759204864502,1459"
14600,"-0.36758583784103394,5.753939151763916,7.841759204864502,1460"
14601,"-0.36758583784103394,5.753939151763916,7.841759204864502,1460"
14602,"-0.36758583784103394,5.753939151763916,7.841759204864502,1460"
14603,"-0.36758583784103394,5.753939151763916,7.841759204864502,1460"
14604,"-0.36758583784103394,5.753939151763916,7.841759204864502,1460"
14605,"-0.36758583784103394,5.753939151763916,7.841759204864502,1460"
14606,"-0.36758583784103394,5.753939151763916,7.841759204864502,1460"
